Section,M.section (kNm) - Leff = 1500,I (x10^3 mm^4),Z (mm^3),BMT,,
64x0.50 BMT,0.246,43.6,1348,0.5,,
64x0.70 BMT,0.291,60.7,1876,0.7,,
64x1.15BMT,0.433,96.1,2973,1.15,,
92x0.50 BMT,0.319,101.8,2185,0.5,,
92x0.70 BMT,0.508,143.5,3061,0.7,,
92x1.15 BMT,1.019,225.2,4826,1.15,,
150x0.75 BMT,1.243,626.5,8312,0.75,,
150x1.15 BMT,2.1,964.4,12750,1.15,,
