Manufacturer,Name,Edge Type,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),NRC,alpha w,Fire Rating,STC,Rw,IIC,Index
Not Specified,Not Specified,Not Specified,10,1200,2400,7,,,,,,,
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,2400,7,,,,,,,0
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,2700,7,,,,,,,1
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,3000,7,,,,,,,2
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,3300,7,,,,,,,3
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,3600,7,,,,,,,4
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,4200,7,,,,,,,5
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,4800,7,,,,,,,6
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,6000,7,,,,,,,7
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,2400,9,,,,,,,8
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,2700,9,,,,,,,9
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,3000,9,,,,,,,10
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,3300,9,,,,,,,11
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,3600,9,,,,,,,12
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,4200,9,,,,,,,13
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,4800,9,,,,,,,14
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,6000,9,,,,,,,15
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,2400,7,,,,,,,16
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,3000,7,,,,,,,17
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,3600,7,,,,,,,18
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,4200,7,,,,,,,19
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,4800,7,,,,,,,20
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,6000,7,,,,,,,21
GIB,1 x 10mm Standard Plasterboard wideline,TE/SE,10,1350,3600,7,,,,,,,22
GIB,1 x 10mm Standard Plasterboard wideline,TE/SE,10,1350,4800,7,,,,,,,23
GIB,1 x 10mm Standard Plasterboard wideline,TE/SE,10,1350,6000,7,,,,,,,24
GIB,1 x 13mm Standard Plasterboard wideline,TE/SE,13,1350,4800,9,,,,,,,25
GIB,1 x 10mm Noiseline,TE/TE,10,1200,2400,9.3,,,,,,,26
GIB,1 x 10mm Noiseline,TE/TE,10,1200,2700,9.3,,,,,,,27
GIB,1 x 10mm Noiseline,TE/TE,10,1200,3000,9.3,,,,,,,28
GIB,1 x 10mm Noiseline,TE/TE,10,1200,3600,9.3,,,,,,,29
GIB,1 x 10mm Noiseline,TE/TE,10,1200,4800,9.3,,,,,,,30
GIB,1 x 13mm Noiseline,TE/TE,13,1200,2400,12.5,,,,,,,31
GIB,1 x 13mm Noiseline,TE/TE,13,1200,2700,12.5,,,,,,,32
GIB,1 x 13mm Noiseline,TE/TE,13,1200,3000,12.5,,,,,,,33
GIB,1 x 13mm Noiseline,TE/TE,13,1200,3600,12.5,,,,,,,34
GIB,1 x 10mm Noiseline,TE/SE,10,1200,4800,9.3,,,,,,,35
GIB,1 x 10mm Noiseline,TE/SE,10,1350,4800,9.3,,,,,,,36
GIB,1 x 10mm Aqualine,TE/TE,10,1200,2400,8,,,,,,,37
GIB,1 x 10mm Aqualine,TE/TE,10,1200,2700,8,,,,,,,38
GIB,1 x 10mm Aqualine,TE/TE,10,1200,3000,8,,,,,,,39
GIB,1 x 10mm Aqualine,TE/TE,10,1200,3600,8,,,,,,,40
GIB,1 x 13mm Aqualine,TE/TE,13,1200,2400,11,,,,,,,41
GIB,1 x 13mm Aqualine,TE/TE,13,1200,2700,11,,,,,,,42
GIB,1 x 13mm Aqualine,TE/TE,13,1200,3000,11,,,,,,,43
GIB,1 x 13mm Aqualine,TE/TE,13,1200,3600,11,,,,,,,44
GIB,1 x 10mm Aqualine,TE/SE,10,1200,4800,8,,,,,,,45
GIB,1 x 10mm Aqualine,TE/SE,10,1350,3600,8,,,,,,,46
GIB,1 x 10mm Ultraline,TE/TE,10,1200,3600,7.5,,,,,,,47
GIB,1 x 10mm Ultraline,TE/TE,10,1200,4800,7.5,,,,,,,48
GIB,1 x 10mm Ultraline,TE/TE,10,1200,6000,7.5,,,,,,,49
GIB,1 x 13mm Ultraline,TE/TE,13,1200,3000,9.1,,,,,,,50
GIB,1 x 13mm Ultraline,TE/TE,13,1200,3600,9.1,,,,,,,51
GIB,1 x 13mm Ultraline,TE/TE,13,1200,4800,9.1,,,,,,,52
GIB,1 x 13mm Ultraline,TE/TE,13,1200,6000,9.1,,,,,,,53
GIB,1 x 10mm Fyreline,TE/TE,10,1200,2400,7,,,,,,,54
GIB,1 x 10mm Fyreline,TE/TE,10,1200,2700,7,,,,,,,55
GIB,1 x 10mm Fyreline,TE/TE,10,1200,3000,7,,,,,,,56
GIB,1 x 10mm Fyreline,TE/TE,10,1200,3600,7,,,,,,,57
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,2400,11,,,,,,,58
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,2700,11,,,,,,,59
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,3000,11,,,,,,,60
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,3300,11,,,,,,,61
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,3600,11,,,,,,,62
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,2400,22,,,,,,,63
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,2700,22,,,,,,,64
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3000,22,,,,,,,65
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3300,22,,,,,,,66
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3600,22,,,,,,,67
GIB,1 x 16mm GIB Fyreline,TE/TE,16,1200,2400,15.3,,,,,,,68
GIB,1 x 16mm GIB Fyreline,TE/TE,16,1200,2700,15.3,,,,,,,69
GIB,1 x 16mm GIB Fyreline,TE/TE,16,1200,3000,15.3,,,,,,,70
GIB,1 x 13mm and 1 x 16mm GIB Fyreline,TE/TE,13/16,1200,2400,26.3,,,,,,,71
GIB,1 x 13mm and 1 x 16mm GIB Fyreline,TE/TE,13/16,1200,2700,26.3,,,,,,,72
