Manufacturer,Name of systems,Edge Type,Fire Rating (ISO 5660 P1&2),STC (ASTM E413),Rw (dB - EN ISO 10848),IIC (ASTM E989),Name of Lining,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),Top Cross Rails Type,Furring Channels Type,Top Cross Rails Capacity (N),Top Cross Rails Weight (kg/m),Top Cross Rails Spacing (mm),Furring Channel Capacity (N),Furring Channel Weight (kg/m),Furring Channel Spacing (mm),Perimeter Restraint,Perimeter Restraint Capacity (N),Lining index,Grids Index
Elephant,Standard E2SC30-S26,TE/TE,30/30/30,50,49,42,2 x 13mm Elephant Standard,13/13,1200,2400,17.8,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,156,2
Elephant,Standard E2SC30-S26,TE/TE,30/30/30,50,49,42,2 x 13mm Elephant Standard,13/13,1200,2700,17.8,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,157,2
Elephant,Standard E2SC30-S26,TE/TE,30/30/30,50,49,42,2 x 13mm Elephant Standard,13/13,1200,3000,17.8,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,158,2
Elephant,Standard E2SC30-S26,TE/TE,30/30/30,50,49,42,2 x 13mm Elephant Standard,13/13,1200,3300,17.8,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,159,2
Elephant,Standard E2SC30-S26,TE/TE,30/30/30,50,49,42,2 x 13mm Elephant Standard,13/13,1200,3600,17.8,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,160,2
Elephant,Standard E2SC30-S26,TE/TE,30/30/30,50,49,42,2 x 13mm Elephant Standard,13/13,1200,4200,17.8,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,161,2
Elephant,Standard E2SC30-S26,TE/TE,30/30/30,50,49,42,2 x 13mm Elephant Standard,13/13,1200,4800,17.8,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,162,2
Elephant,Standard E2SC30-S26,TE/TE,30/30/30,50,49,42,2 x 13mm Elephant Standard,13/13,1200,6000,17.8,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,163,2
Elephant,MultiSmart E2SC30-M20,TE/TE,30/30/30,50,49,42,2 x 10mm Elephant MultiSmart,10/10,1200,2400,18,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,164,2
Elephant,MultiSmart E2SC30-M20,TE/TE,30/30/30,50,49,42,2 x 10mm Elephant MultiSmart,10/10,1200,2700,18,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,165,2
Elephant,MultiSmart E2SC30-M20,TE/TE,30/30/30,50,49,42,2 x 10mm Elephant MultiSmart,10/10,1200,3000,18,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,166,2
Elephant,MultiSmart E2SC30-M20,TE/TE,30/30/30,50,49,42,2 x 10mm Elephant MultiSmart,10/10,1200,3600,18,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,167,2
Elephant,MultiSmart E2SC30-M20,TE/TE,30/30/30,50,49,42,2 x 10mm Elephant MultiSmart,10/10,1200,4800,18,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,168,2
Elephant,MultiSmart E1SC45-M13,TE/TE,45/45/45,48,47,42,1 x 13mm Elephant MultiSmart,13,1200,2400,11.8,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,169,2
Elephant,MultiSmart E1SC45-M13,TE/TE,45/45/45,48,47,42,1 x 13mm Elephant MultiSmart,13,1200,2700,11.8,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,170,2
Elephant,MultiSmart E1SC45-M13,TE/TE,45/45/45,48,47,42,1 x 13mm Elephant MultiSmart,13,1200,3000,11.8,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,171,2
Elephant,MultiSmart E1SC45-M13,TE/TE,45/45/45,48,47,42,1 x 13mm Elephant MultiSmart,13,1200,3300,11.8,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,172,2
Elephant,MultiSmart E1SC45-M13,TE/TE,45/45/45,48,47,42,1 x 13mm Elephant MultiSmart,13,1200,3600,11.8,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,173,2
Elephant,FireSmart E1SC60-F16,TE/TE,60/60/60,48,47,43,1 x 16mm Elephant FireSmart,16,1200,2400,14.2,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,174,2
Elephant,FireSmart E1SC60-F16,TE/TE,60/60/60,48,47,43,1 x 16mm Elephant FireSmart,16,1200,2700,14.2,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,175,2
Elephant,FireSmart E1SC60-F16,TE/TE,60/60/60,48,47,43,1 x 16mm Elephant FireSmart,16,1200,3000,14.2,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,176,2
Elephant,FireSmart E1XC60-F16,TE/TE,60/60/60,48,47,43,1 x 16mm Elephant FireSmart,16,1200,2400,14.2,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,177,2
Elephant,FireSmart E1XC60-F16,TE/TE,60/60/60,48,47,43,1 x 16mm Elephant FireSmart,16,1200,2700,14.2,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,178,2
Elephant,FireSmart E1XC60-F16,TE/TE,60/60/60,48,47,43,1 x 16mm Elephant FireSmart,16,1200,3000,14.2,Rondo P128 or ScrewFix F38,Rondo P129 or ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,179,2
Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,60/60/60,48,47,42,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,13/13,1200,2400,17.9,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,180,2
Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,60/60/60,48,47,42,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,13/13,1200,2700,17.9,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,181,2
Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,60/60/60,48,47,42,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,13/13,1200,3000,17.9,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,182,2
Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,60/60/60,48,47,42,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,13/13,1200,3600,17.9,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,183,2
Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,60/60/60,48,47,42,1 x 13mm Elephant MultiSmart and 1 x 13mm Elephant Standard,13/13,1200,4800,17.9,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,184,2
Elephant,MultiSmart E2SC75-M26,TE/TE,75/75/75,51,50,42,2 x 13mm Elephant MultiSmart,13/13,1200,2400,23.6,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,185,2
Elephant,MultiSmart E2SC75-M26,TE/TE,75/75/75,51,50,42,2 x 13mm Elephant MultiSmart,13/13,1200,2700,23.6,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,186,2
Elephant,MultiSmart E2SC75-M26,TE/TE,75/75/75,51,50,42,2 x 13mm Elephant MultiSmart,13/13,1200,3000,23.6,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,187,2
Elephant,MultiSmart E2SC75-M26,TE/TE,75/75/75,51,50,42,2 x 13mm Elephant MultiSmart,13/13,1200,3300,23.6,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,188,2
Elephant,MultiSmart E2SC75-M26,TE/TE,75/75/75,51,50,42,2 x 13mm Elephant MultiSmart,13/13,1200,3600,23.6,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,189,2
Elephant,FireSmart E2SC90-F32,TE/TE,90/90/90,53,52,43,2 x 16mm Elephant FireSmart,16/16,1200,2400,28.4,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,190,2
Elephant,FireSmart E2SC90-F32,TE/TE,90/90/90,53,52,43,2 x 16mm Elephant FireSmart,16/16,1200,2700,28.4,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,191,2
Elephant,FireSmart E2SC90-F32,TE/TE,90/90/90,53,52,43,2 x 16mm Elephant FireSmart,16/16,1200,3000,28.4,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,192,2
Elephant,FireSmart-MultiSmart E2XC90-FM29,TE/TE,90/90/90,48,47,43,3 1 x 16mm Elephant FireSmart and 1 x 13mm Elephant MultiSmart,13/16,1200,2400,26,Rondo Express XD2-1200,Rondo Express XD2-600,950,0.378,1200,650,0.468,600,FC140-142,1300,193,3
Elephant,FireSmart-MultiSmart E2XC90-FM29,TE/TE,90/90/90,48,47,43,3 1 x 16mm Elephant FireSmart and 1 x 13mm Elephant MultiSmart,13/16,1200,2700,26,Rondo Express XD2-1200,Rondo Express XD2-600,950,0.378,1200,650,0.468,600,FC140-142,1300,194,3
Elephant,FireSmart-MultiSmart E2XC90-FM29,TE/TE,90/90/90,48,47,43,3 1 x 16mm Elephant FireSmart and 1 x 13mm Elephant MultiSmart,13/16,1200,3000,26,Rondo Express XD2-1200,Rondo Express XD2-600,950,0.378,1200,650,0.468,600,FC140-142,1300,195,3
Elephant,Standard E1SCa15-S13,TE/TE,15/15/15,48,47,36-62,1 x 13mm Elephant Standard,13,1200,2400,8.9,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,196,4
Elephant,Standard E1SCa15-S13,TE/TE,15/15/15,48,47,36-62,1 x 13mm Elephant Standard,13,1200,2700,8.9,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,197,4
Elephant,Standard E1SCa15-S13,TE/TE,15/15/15,48,47,36-62,1 x 13mm Elephant Standard,13,1200,3000,8.9,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,198,4
Elephant,Standard E1SCa15-S13,TE/TE,15/15/15,48,47,36-62,1 x 13mm Elephant Standard,13,1200,3300,8.9,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,199,4
Elephant,Standard E1SCa15-S13,TE/TE,15/15/15,48,47,36-62,1 x 13mm Elephant Standard,13,1200,3600,8.9,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,200,4
Elephant,Standard E1SCa15-S13,TE/TE,15/15/15,48,47,36-62,1 x 13mm Elephant Standard,13,1200,4200,8.9,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,201,4
Elephant,Standard E1SCa15-S13,TE/TE,15/15/15,48,47,36-62,1 x 13mm Elephant Standard,13,1200,4800,8.9,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,202,4
Elephant,Standard E1SCa15-S13,TE/TE,15/15/15,48,47,36-62,1 x 13mm Elephant Standard,13,1200,6000,8.9,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,203,4
Elephant,Standard E2SCa30-S26,TE/TE,30/30/30,53,52,42-67,2 x 13mm Elephant Standard,13/13,1200,2400,17.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,204,4
Elephant,Standard E2SCa30-S26,TE/TE,30/30/30,53,52,42-67,2 x 13mm Elephant Standard,13/13,1200,2700,17.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,205,4
Elephant,Standard E2SCa30-S26,TE/TE,30/30/30,53,52,42-67,2 x 13mm Elephant Standard,13/13,1200,3000,17.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,206,4
Elephant,Standard E2SCa30-S26,TE/TE,30/30/30,53,52,42-67,2 x 13mm Elephant Standard,13/13,1200,3300,17.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,207,4
Elephant,Standard E2SCa30-S26,TE/TE,30/30/30,53,52,42-67,2 x 13mm Elephant Standard,13/13,1200,3600,17.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,208,4
Elephant,Standard E2SCa30-S26,TE/TE,30/30/30,53,52,42-67,2 x 13mm Elephant Standard,13/13,1200,4200,17.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,209,4
Elephant,Standard E2SCa30-S26,TE/TE,30/30/30,53,52,42-67,2 x 13mm Elephant Standard,13/13,1200,4800,17.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,210,4
Elephant,Standard E2SCa30-S26,TE/TE,30/30/30,53,52,42-67,2 x 13mm Elephant Standard,13/13,1200,6000,17.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,211,4
Elephant,MultiSmart E1SCa45-M13,TE/TE,45/45/45,51,50,43-69,1 x 13mm Elephant MultiSmart,13,1200,2400,11.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,212,4
Elephant,MultiSmart E1SCa45-M13,TE/TE,45/45/45,51,50,43-69,1 x 13mm Elephant MultiSmart,13,1200,2700,11.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,213,4
Elephant,MultiSmart E1SCa45-M13,TE/TE,45/45/45,51,50,43-69,1 x 13mm Elephant MultiSmart,13,1200,3000,11.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,214,4
Elephant,MultiSmart E1SCa45-M13,TE/TE,45/45/45,51,50,43-69,1 x 13mm Elephant MultiSmart,13,1200,3300,11.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,215,4
Elephant,MultiSmart E1SCa45-M13,TE/TE,45/45/45,51,50,43-69,1 x 13mm Elephant MultiSmart,13,1200,3600,11.8,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,216,4
Elephant,FireSmart E1SCa60-F16,TE/TE,60/60/60,52,51,43-69,1 x 16mm Elephant FireSmart,16,1200,2400,14.2,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,217,4
Elephant,FireSmart E1SCa60-F16,TE/TE,60/60/60,52,51,43-69,1 x 16mm Elephant FireSmart,16,1200,2700,14.2,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,218,4
Elephant,FireSmart E1SCa60-F16,TE/TE,60/60/60,52,51,43-69,1 x 16mm Elephant FireSmart,16,1200,3000,14.2,ScrewFix F38,ScrewFix F37,950,0.378,1200,650,0.468,600,FC140-142,1300,219,4
